run_name,status,best_epoch,best_downbeat_f1,best_beat_f1,best_val_loss,last_epoch,last_downbeat_f1,configured_epochs,seed,lr,batch_size,train_samples_per_epoch,segment_seconds,meter_loss_weight,drum_aux_loss_weight,drum_aux_use_high_frequency_flux,stem_dropout_max_count,init_scope,init_from,init_state_source,audio_backend,scheduler,ema_decay,num_layers,hidden_size,output_dim,resume,git_branch,git_commit,git_dirty,completed_at,run_path
exp_meter_from_rhythm_hardpred_w0_01,complete,23,0.4463,0.6453,1.5092,30,0.4208,30,42,0.000300,8,1024,30.0,0.050,0.100,true,4,backbone,/mnt/f/Github/BeatTracker/model_epoch_200.pt,ema_state_dict,packed,warmup_cosine,0.9990,6,64,256,,exp/meter-from-rhythm-bilstm,1c193a8b2d9891eb4b430e81b2683a4a33234b72,true,2026-03-17 02:45:02 UTC,outputs/exp_meter_from_rhythm_hardpred_w0_01
exp_chord_preinit_stemdrop2_drumaux_bassaux,complete,20,0.4442,0.6747,1.2584,30,0.4281,30,42,0.000300,8,1024,30.0,0.050,0.100,,4,backbone,model_epoch_200.pt,ema_state_dict,packed,warmup_cosine,0.9990,6,64,256,,exp/bass-aux-lowflux-harmonic-change,dee1996fc70872df2569fafc805fde22d31128c5,true,2026-03-14 12:07:52 UTC,outputs/exp_chord_preinit_stemdrop2_drumaux_bassaux
exp_chord_preinit_stemdrop2_drumaux_pianoaux,complete,16,0.4440,0.6318,1.1561,30,0.4029,30,42,0.000300,8,1024,30.0,0.050,0.100,,4,backbone,model_epoch_200.pt,ema_state_dict,packed,warmup_cosine,0.9990,6,64,256,,exp/piano-broadband-flux-aux,dee1996fc70872df2569fafc805fde22d31128c5,true,2026-03-14 16:06:07 UTC,outputs/exp_chord_preinit_stemdrop2_drumaux_pianoaux
exp_meter_from_rhythm_bilstm_w0_05,complete,25,0.4431,0.6601,1.3691,30,0.4182,30,42,0.000300,8,1024,30.0,0.050,0.100,true,4,backbone,/mnt/f/Github/BeatTracker/model_epoch_200.pt,ema_state_dict,packed,warmup_cosine,0.9990,6,64,256,,exp/meter-from-rhythm-bilstm,2dc24e5d708fbff50b002dddfb08a16eb5dc2ee4,true,2026-03-16 14:10:41 UTC,outputs/exp_meter_from_rhythm_bilstm_w0_05
exp_chord_preinit_stemdrop2_phase,complete,25,0.4409,0.6570,1.4329,30,0.4318,30,42,0.000300,8,1024,30.0,0.050,,,4,backbone,/mnt/f/Github/BeatTracker/model_epoch_200.pt,ema_state_dict,packed,warmup_cosine,0.9990,6,64,256,,exp/beat-phase-classification,f9c10e4c96d429b7ff085d05e21029188377c398,true,2026-03-14 07:54:13 UTC,outputs/exp_chord_preinit_stemdrop2_phase
exp_chord_preinit_stemdrop2_drumaux_bassharmonic,complete,12,0.4406,0.5886,1.1710,30,0.4150,30,42,0.000300,8,1024,30.0,0.050,0.100,,4,backbone,model_epoch_200.pt,ema_state_dict,packed,warmup_cosine,0.9990,6,64,256,,exp/bass-aux-lowflux-harmonic-change,16b04fb9600983560eb50012866a4ae78312293e,true,2026-03-14 14:46:30 UTC,outputs/exp_chord_preinit_stemdrop2_drumaux_bassharmonic
exp_chord_preinit_stemdrop2_metertau0_5,complete,16,0.4401,0.6440,1.1168,30,0.4131,30,42,0.000300,8,1024,30.0,0.050,,,4,backbone,model_epoch_200.pt,ema_state_dict,packed,warmup_cosine,0.9990,6,64,256,,exp/meter-balancedsoftmax-tau0_5,f9c10e4c96d429b7ff085d05e21029188377c398,true,2026-03-14 09:15:33 UTC,outputs/exp_chord_preinit_stemdrop2_metertau0_5
exp_meter_from_rhythm_bilstm_w0_05_balanced,complete,20,0.4338,0.6684,1.3445,30,0.4143,30,42,0.000300,8,1024,30.0,0.050,0.100,true,4,backbone,/mnt/f/Github/BeatTracker/model_epoch_200.pt,ema_state_dict,packed,warmup_cosine,0.9990,6,64,256,,exp/meter-from-rhythm-bilstm,4230a08bb80585f4d9665fe8a313dbd74536ac26,true,2026-03-16 15:33:40 UTC,outputs/exp_meter_from_rhythm_bilstm_w0_05_balanced
exp_meter_classification_w0_0_5,complete,20,0.3903,0.5379,1.0949,30,0.3534,30,42,0.000300,8,1024,30.0,0.050,,,,,,,packed,warmup_cosine,0.9990,6,64,256,,exp/meter-classification,8af5e0224aad55ca3e419c04bc182d2e86acb6b0,true,2026-03-13 06:28:31 UTC,outputs/exp_meter_classification_w0_0_5
exp_chord_preinit_stemdrop2_drumaux_highfreq_repeatssm_timestretch_pm10,complete,30,0.3784,0.6596,1.3199,30,0.3784,30,42,0.000300,8,1024,30.0,0.050,0.100,true,4,backbone,model_epoch_200.pt,ema_state_dict,packed,warmup_cosine,0.9990,6,64,256,,exp/tempo-augmentation-pm10,fa7462cfb77f811ce79e869947948c85cbf6d0ce,true,2026-03-15 10:06:35 UTC,outputs/exp_chord_preinit_stemdrop2_drumaux_highfreq_repeatssm_timestretch_pm10
